id,carat,price,cut,cut_nom,clarity,clarity_nom,color,color_nom,diamond_shape,ring_setting,ring_metal,metal_quality,merchant_title,ring_title,ring_description,prod_name_raw,mrch_id,product_url,image_url,image_url2,image_url3,votes,local_merchant_flag
347,0.45,9413,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,13,1
348,0.51,9499,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,51,1
349,0.7,10750,Very Good,3,VVS1,6,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,64,1
350,0.72,10758,Very Good,3,VVS1,6,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,9,1
351,0.77,10944,Very Good,3,VVS1,6,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,56,1
352,0.72,11304,Very Good,3,VVS2,5,F,5,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,100,1
353,0.8,11418,Very Good,3,VVS1,6,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,83,1
354,1.01,12119,Very Good,3,VVS1,6,I,2,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,2,1
355,0.93,12588,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,73,1
356,1.02,12648,Very Good,3,VVS2,5,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,5,1
357,1.06,12660,Very Good,3,VVS2,5,H,3,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,89,1
358,0.99,12777,Very Good,3,VVS2,5,G,4,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,79,1
359,1.01,13607,Very Good,3,VVS2,5,F,5,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,95,1
360,1.03,15352,Very Good,3,VVS2,5,F,5,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,34,1
361,1.59,17130,Very Good,3,VVS2,5,I,2,CUSHION,HALO,PLATINUM,PLATINUM,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,32,1
362,0.45,7322,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,24,1
363,0.51,7408,Very Good,3,VVS2,5,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,26,1
364,0.7,8659,Very Good,3,VVS1,6,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,27,1
365,0.72,8667,Very Good,3,VVS1,6,G,4,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,71,1
366,0.77,8853,Very Good,3,VVS1,6,H,3,CUSHION,HALO,WHITE GOLD,WHITE GOLD,Wedding Bands Company,Antique Halo Pave Cushion Diamond Engagement Ring,"Cushion Cut Diamond Antique Design Halo Pave Engagement Ring. Halo design surround the center and sides of the ring. All diamonds weighs 1.28 carat total weight, to fit the center of your choice",Antique Halo Pave Cushion Diamond Engagement Ring,7,,http://weddingbandscompany.com/images/products/detail/CushionAntiqueHaloPaveDiamo.jpg,,,94,1
