id,carat,price,cut,cut_nom,clarity,clarity_nom,color,color_nom,diamond_shape,ring_setting,metal_quality,merchant_title,ring_title,ring_description,prod_name_raw,mrch_id,product_url,image_url,image_url2,image_url3,ring_metal,votes,local_merchant_flag,priority_score,merchant_city
1,1,13787,Very Good,3,VVS1,6,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
2,1,13787,Very Good,3,VVS1,6,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
3,0.75,6068,Very Good,3,VVS1,6,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
4,0.75,6068,Very Good,3,VVS1,6,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
5,1,10763,Very Good,3,VS1,4,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
6,1,10763,Very Good,3,VS1,4,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
7,0.25,1851,Very Good,3,VS1,4,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
8,0.25,1851,Very Good,3,VS1,4,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
9,0.5,4118,Very Good,3,VS1,4,D,7,Round,Solitaire,Gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,Gold,1,1,1,3
10,0.5,4118,Very Good,3,VS1,4,D,7,Round,Solitaire,rose gold,Davidson & Licht,Precision by Davidson & Licht  7203,Petite FlushFit Solitaire 2.7MM Band Engagement Ring ,Precision by Davidson & Licht  7203,1,http://www.davidsonandlicht.com/product/7203-2/,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c1-507x380.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c2-199x149.jpg,http://www.davidsonandlicht.com/wp-content/uploads/7203Y_c3-199x149.jpg,rose gold,1,1,1,3
